classTypeCode,description
459,OTHER FORIEGN RUM
461,JAMAICAN RUM WHITE FB
462,JAMAICAN RUM WHITE USB
463,JAMAICAN RUM GOLD FB
464,JAMICAN RUM GOLD USB
471,GUIANAN RUM WHITE FB
472,GUIANAN RUM WHITE USB
473,DUTCH GUIANAN RUM GOLD FB
474,DUTCH GUIANAN RUM GOLD USB
475,FRENCH GUIANAN RUM FB
476,FRENCH GUIANAN RUM USB
481,MARTINICAN RUM WHITE FB
482,MARTINICAN RUM WHITE USB
483,MARTINICAN RUM GOLD FB
484,MARTINICAN RUM GOLD USB
490,OTHER FOREIGN RUM
491,OTHER RUM WHITE FB
492,OTHER RUM WHITE USB
493,OTHER RUM GOLD FB
494,OTHER RUM GOLD USB
495,DILUTED RUM WHITE FB
496,DILUTED RUM WHITE USB
497,DILUTED RUM GOLD FB
498,DILUTED RUM GOLD USB
499,IMPORTED FLAVORED RUM
500,CALIFORNIA GRAPE BRANDY
501,CALIFORNIA BRANDY
502,CALIFORNIA DRIED BRANDY
503,CALIFORNIA LEES BRANDY
504,CALIFORNIA POMACE OR MARC BRANDY
505,CALIFORNIA RESIDUE BRANDY
506,CALIFORNIA NEUTRAL BRANDY
509,OTHER CALIFORNIA BRANDY
510,NEW YORK GRAPE BRANDY
511,NEW YORK BRANDY
512,NEW YORK DRIED BRANDY
513,NEW YORK LEES BRANDY
514,NEW YORK POMACE OR MARC BRANDY
515,NEW YORK RESIDUE BRANDY
516,NEW YORK NEUTRAL BRANDY
519,OTHER NEW YORK BRANDY
520,OTHER DOMESTIC GRAPE BRANDY
521,BRANDY
522,DRIED BRANDY
523,LEES BRANDY
524,POMACE OR MARC BRANDY
525,RESIDUE BRANDY
526,NEUTRAL BRANDY
527,IMMATURE BRANDY
529,OTHER BRANDY
530,BRANDY - FLAVORED
531,BRANDY - APRICOT FLAVORED
532,BRANDY - BLACKBERRY FLAVORED
533,BRANDY - PEACH FLAVORED
534,BRANDY - CHERRY FLAVORED
535,BRANDY - GINGER FLAVORED
536,BRANDY - COFFEE FLAVORED
537,BRANDY APPLE FLAVORED
538,BRANDY PEAR FLAVORED
539,OTHER BRANDY - FLAVORED
540,FRUIT BRANDY
541,APPLE BRANDY
542,CHERRY BRANDY
543,PLUM BRANDY
544,BLACKBERRY BRANDY
545,BLENDED APPLE JACK BRANDY
546,PEAR BRANDY
547,APRICOT BRANDY
548,DILUTED BRANDY
549,OTHER FRUIT BRANDY
550,FRENCH BRANDY
551,COGNAC (BRANDY) FB
552,COGNAC (BRANDY) USB
553,ARMAGNAC (BRANDY) FB
554,ARMAGNAC (BRANDY) USB
558,OTHER FRENCH BRANDY FB
559,OTHER FRENCH BRANDY USB
560,OTHER FOREIGN BRANDY
561,ITALIAN GRAPE BRANDY FB
562,ITALIAN GRAPE BRANDY USB
563,SPANISH GRAPE BRANDY FB
564,SPANISH GRAPE BRANDY USB
565,PORTUGUESE GRAPE BRANDY FB
566,PORTUGUESE GRAPE BRANDY USB
567,GREEK GRAPE BRANDY FB
568,GREEK GRAPE BRANDY USB
571,GERMAN GRAPE BRANDY FB
572,GERMAN GRAPE BRANDY USB
573,AUSTRALIAN GRAPE BRANDY FB
574,AUSTRALIAN GRAPE BRANDY USB
575,SOUTH AFRICAN GRAPE BRANDY FB
576,SOUTH AFRICAN GRAPE BRANDY USB
580,OTHER FOREIGN BRANDY (CONT.)
581,BRANDY APRICOT FLAVORED
582,BRANDY BLACKBERRY FLAVORED
583,BRANDY PEACH FLAVORED
584,BRANDY CHERRY FLAVORED
585,BRANDY GINGER FLAVORED
586,BRANDY COFFEE FLAVORED
587,BRANDY APPLE FLAVORED
588,"OTHER GRAPE BRANDY (PISCO, GRAPPA) FB"
589,OTHER GRAPE BRANDY (GRAPPA) USB
590,FOREIGN FRUIT BRANDY
591,APPLE BRANDY (CALVADOS)
592,CHERRY BRANDY
593,PLUM BRANDY (SLIVOVITZ)
594,BLACKBERRY BRANDY
595,BLENDED APPLE JACK BRANDY
596,APRICOT BRANDY
597,DILUTED BRANDY FB
598,DILUTED BRANDY USB
599,OTHER FRUIT BRANDY
600,CORDIALS (FRUIT & PEELS)
601,FRUIT FLAVORED LIQUEURS
603,CURACAO
604,TRIPLE SEC
605,SLOE GIN
606,"ROCK & RYE, RUM & BRANDY (ETC.)"
607,FRUITS & PEELS SCHNAPPS LIQUEUR
609,OTHER FRUITS & PEELS LIQUEURS
610,CORDIALS (HERBS & SEEDS)
611,"ANISETTE, OUZO, OJEN"
612,COFFEE (CAFE) LIQUEUR
613,KUMMEL
614,PEPPERMINT SCHNAPPS
615,HERBS AND SEEDS SCHNAPPS LIQUEUR
616,AMARETTO
617,SAMBUCA
